Zeitstempel,E-Mail-Adresse,Space Name ,event_title,event_desc,weekday,start_time,end_time,event_url,fb_url,linkedin_url,eventbrite_url,meetup_url,paid,Link zum Event Foto / Link to Event Photo,space_id
26.08.2024 12:53:37,info@coworking0711.de,Coworking0711 Stuttgart-West,Brötchen & Business & BlaBla,"Wir laden Coworker und Gäste herzlich ein zu: ""Brötchen & Business & BlaBla"" aka Frühstück.

Bei Brötchen, Aufstrich und Kaffee habt ihr Zeit zum geselligen Kennenlernen und Austausch. Ihr könnt auch gerne eigenen SchnickSchnack für alle mitbringen.

Verbindliche Anmeldungen werden erbeten, damit wir besser kalkulieren können: blabla@coworking0711.de",Montag / Monday,09:00:00,10:30:00,https://coworking0711.de/events/event?tx_news_pi1%5Bnews%5D=311&cHash=e7b7a1715ae7e7e98cde1a664f74933d,,,,,No,https://coworking0711.de/fileadmin/_processed_/e/0/csm_1715110627402_0b8c734b55.jpg,coworking0711-stuttgart-west
26.08.2024 12:55:27,info@coworking0711.de,Coworking0711 Esslingen,Brötchen & Business & BlaBla,"Wir laden Coworker und Gäste herzlich ein zu: ""Brötchen & Business & BlaBla"" aka Frühstück.

Bei Brötchen, Aufstrich und Kaffee habt ihr Zeit zum geselligen Kennenlernen und Austausch. Ihr könnt auch gerne eigenen SchnickSchnack für alle mitbringen.

Verbindliche Anmeldungen werden erbeten, damit wir besser kalkulieren können: blabla@coworking0711.de",Dienstag / Tuesday,09:00:00,10:30:00,https://coworking0711.de/events/event?tx_news_pi1%5Bnews%5D=313&cHash=e99cbdc5075b49932c1979eff0776720,,,,,No,https://coworking0711.de/fileadmin/_processed_/e/0/csm_1715110627402_0b8c734b55.jpg,coworking0711-esslingen
26.08.2024 12:56:30,info@coworking0711.de,Coworking0711 Stuttgart-West,Kurzer historischer Stadtteilspaziergang durch Stuttgart-West,"Coworkerin Claudia ist Historikerin und weiß viel über die lebendige Geschichte des Stuttgarter Westens zu erzählen. Sie nimmt euch am Montag Abend nach getaner Arbeit mit auf einen kurzen historischen Stadtteilspaziergang mit einem Fokus auf Handwerk und frühe Industrialisierung.

Eine Anmeldung ist nicht erforderlich. Seid einfach spätestens um 18:30 an unserer Location in Stuttgart-West: Gutenbergstr. 77a, im Innenhof.",Montag / Monday,18:30:00,19:30:00,https://coworking0711.de/events/event?tx_news_pi1%5Bnews%5D=316&cHash=6e800dab41fbbca9dbabe6fe5805b7c9,,,,,No,,coworking0711-stuttgart-west
26.08.2024 12:57:40,info@coworking0711.de,Coworking0711 Stuttgart-West,Die Revolution der Generativen KI: Auswirkungen und Anwendungen,"Dieser Vortrag beleuchtet die transformative Kraft der Generativen Künstlichen Intelligenz (Gen AI) und ihre weitreichenden Auswirkungen auf Unternehmen und den privaten Gebrauch. Gen AI hat das Potenzial, Geschäftsprozesse zu revolutionieren, indem sie kreative Inhalte generiert und neue Möglichkeiten in der Produktentwicklung, im Marketing und in der Kundeninteraktion eröffnet. Unternehmen können durch den Einsatz von Gen AI ihre Effizienz steigern, Kosten senken und innovative Produkte und Dienstleistungen anbieten. Gleichzeitig müssen sie sich jedoch auch mit ethischen und rechtlichen Herausforderungen auseinandersetzen, die mit der Nutzung von KI verbunden sind.

Für den privaten Gebrauch stehen leistungsfähige und benutzerfreundliche Tools wie Textgeneratoren (z.B. GPT-4) und Bildgeneratoren (z.B. DALL-E) zur Verfügung. Der erfolgreiche Einsatz von Gen AI erfordert eine strategische Herangehensweise, bei der Unternehmen klare Ziele definieren, geeignete Anwendungsfälle identifizieren und ethische Richtlinien entwickeln. Dieser Vortrag bietet einen umfassenden Überblick über die Möglichkeiten und Herausforderungen der Generativen KI und zeigt auf, wie Unternehmen und Privatpersonen diese bahnbrechende Technologie effektiv nutzen können.",Dienstag / Tuesday,18:30:00,20:30:00,https://coworking0711.de/events/event?tx_news_pi1%5Bnews%5D=314&cHash=7b3aa31453b388cae2d4fc2cb125e89c,,,,,No,https://coworking0711.de/fileadmin/_processed_/b/f/csm_Cowofest-GenAI_ce624eca07.jpg,coworking0711-stuttgart-west
26.08.2024 12:59:17,info@coworking0711.de,Coworking0711 Stuttgart-West,Netzwerktreffen für Coworking-Space Betreiber:innen und Interessierte,"Eingeladen sind Betreiber:innen von Coworking Spaces sowie Initiativen und alle, die sich dafür interessieren.

Die Landeskoordination BaWü von Coworkland lädt ein zum virtuellen Netzwerktreffen am 27. September (Freitag, Start: 17:00 Uhr, Ende: 18:30 Uhr). Eingeladen sind Betreiber:innen von Coworking Spaces sowie Initiativen und alle, die sich dafür interessieren. Wer dabei sein will, bitte melden!

Wir wollen uns austauschen zum Status Quo von Coworking im Ländle, bringt gerne Vorschläge und Ideen mit ein.

Bitte meldet euch formlos per E-Mail bei christopher@coworkland.de und/oder harald@coworkland.de an.
",Freitag / Friday,17:00:00,18:30:00,https://coworking0711.de/events/event?tx_news_pi1%5Bnews%5D=317&cHash=97e8cad9c5dc714dc9b3721336519757,,,,,No,https://coworking0711.de/fileadmin/_processed_/b/3/csm_Cowo-Fest-Meetup_4cd30d5466.jpg,coworking0711-stuttgart-west
26.08.2024 14:28:08,thomas@coworkkem.de,Coworking Kemnath,Debattierclub,"In einer Zeit, in der Diskussionen oft von Emotionen dominiert werden, bieten wir Dir die Möglichkeit, den Austausch von Argumenten auf eine ganz neue Art zu erleben. Mit unserem Debattierclub im Coworking Kemnath stellen wir den fairen und logischen Diskurs in den Mittelpunkt und trainieren damit unsere Argumentationskraft!

Nach dem großartigen Erfolg unserer ersten Runde freuen wir uns, Dich zu unserem nächsten Treffen am 23. September um 18 Uhr einzuladen. In einer lebendigen und unterstützenden Atmosphäre wirst Du nicht nur die Kunst der Debatte erlernen, sondern auch Deine rhetorischen Fähigkeiten auf die Probe stellen.

Was erwartet Dich?
- Etabliertes Format: Bei jeder Debatte wirst Du entweder die Pro- oder Kontraseite vertreten und Deine Argumente zu einem spannenden Thema vorbringen. Durch dieses Format lernst Du, unterschiedliche Perspektiven einzunehmen und Deine Überzeugungskraft zu stärken.
- Wertvolles Feedback: Was unseren Club besonders macht, ist die kompetente Jury, bestehend aus allen Teilnehmenden, die am Ende jeder Debatte eine wertschätzende Rückmeldung gibt. So erhältst Du konstruktive Kritik, die Dir hilft, Deine Fähigkeiten weiter auszubauen.

Unsere Mitinitiatoren, Dr. Gabriel Schweizer und „Demokratie leben!“ des BMFSFJ, sind überzeugt, dass der faire Austausch von Argumenten ein Eckpfeiler einer gesunden Gesellschaft ist. Sie möchten Dich dabei unterstützen, Deine Ideen überzeugend zu präsentieren und gleichzeitig die Sichtweisen anderer zu verstehen.

Ob Du schon Erfahrung im Debattieren hast oder einfach neugierig bist, spielt keine Rolle – unser Debattierclub heißt Dich herzlich willkommen!
",Montag / Monday,18:00:00,21:00:00,https://coworking-kemnath.de/events/debattierclub-3/,https://www.facebook.com/events/1835882306899234?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22your_upcoming_events_unit%22%2C%22surface%22%3A%22bookmark%22%7D]%2C%22ref_notif_type%22%3Anull%7D,https://www.linkedin.com/events/7231956404452900864/comments/,,,No,https://coworking-kemnath.de/wp-content/uploads/2024/01/2024-09_DebattierclubKemnath_h-1-scaled.jpg,kemnath
26.08.2024 14:30:45,thomas@coworkkem.de,Coworking Kemnath,YoungLeader,"Im Rahmen unserer neuen Veranstaltungsreihe “Young Leader” laden wir junge Führungskräfte und solche, die kurz davorstehen, eine Führungsrolle zu übernehmen, herzlich zur ersten Veranstaltung am 24. September um 19 Uhr ein. Diese Reihe richtet sich an ambitionierte Persönlichkeiten, die ihre Führungsqualitäten weiterentwickeln und sich auf die Herausforderungen in leitenden Positionen vorbereiten möchten.

Zum Auftakt freuen wir uns, Herrn Johannes Waldhör, Standortleiter bei Siemens Healthineers in Kemnath, begrüßen zu dürfen. Als erfahrene Führungskraft wird Johannes wertvolle Einblicke in seinen persönlichen Werdegang geben und die Chancen und Herausforderungen beleuchten, die sich jungen Führungskräften in der modernen Arbeitswelt bieten.

Warum lohnt es sich teilzunehmen?
- Praxisnahe Einblicke: Erhaltet aus erster Hand wertvolle Erfahrungsberichte und Best Practices von einer erfolgreichen jungen Führungskraft.
- Chancen und Herausforderungen: Erfahre, wie Du als junge Führungskraft die vielfältigen Herausforderungen meistern und die sich bietenden Chancen optimal nutzen kannst.
- Netzwerken und Austausch: Nutze die Gelegenheit, sich mit Gleichgesinnten auszutauschen und ein starkes Netzwerk aufzubauen. Der persönliche Austausch im Anschluss an den Vortrag ist ein wesentlicher Bestandteil der Veranstaltung.
- Weiterentwicklung: Profitiere von den Erfahrungen anderer und erlange wertvolle Impulse für deine eigene berufliche Weiterentwicklung.

Diese Veranstaltung findet im Rahmen des Coworking Festivals vom 23. bis 27. September statt. Nutzen Sie diese besondere Gelegenheit, um Teil eines inspirierenden Netzwerks zu werden und sich auf Ihrem Weg zur erfolgreichen Führungskraft weiterzuentwickeln.

Datum: 24. September
Uhrzeit: 19 Uhr
Ort: Coworking Kemnath

Anmeldung: kostenloses Ticket",Dienstag / Tuesday,19:00:00,21:00:00,https://coworking-kemnath.de/events/young-leader-auftaktveranstaltung/,https://www.facebook.com/events/475563385343616?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22your_upcoming_events_unit%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22left_rail%22%2C%22surface%22%3A%22bookmark%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22calendar_tab_event%22%2C%22surface%22%3A%22bookmark_calendar%22%7D]%2C%22ref_notif_type%22%3Anull%7D,https://www.linkedin.com/events/7232013164735848448/comments/,,,No,https://coworking-kemnath.de/wp-content/uploads/2024/08/youngleader-scaled.jpg,kemnath
27.08.2024 16:03:19,events@space-shack.com,Space Shack Coworking,Space Shack - Thirsty Thursday,"Our monthly Thirsty Thursday is back, and this time it's for a special occasion - the Coworking Festival 2024! Look forward to cold drinks, delicious snacks, and great conversations amidst the artistic architecture of our coworking space in Berlin-Schöneberg!",Donnerstag / Thursday,17:00:00,21:00:00,https://space-shack.com/,,https://space-shack.com/,,,No,https://drive.google.com/drive/folders/1P0fV9VaoYL6FffSqD4kfA3wFztAgLJoJ?usp=sharing,space-shack
05.09.2024 12:33:13,servus@coworking-badtoelz.de,Coworking Bad Tölz,Lernt unsere Coworking-Community besser kennen: Workation & Coworkation,"Lernt unsere Coworking-Community besser kennen: Workation & Coworkation.

W﻿usstet Ihr, dass Workation ein Kunstwort aus working (arbeiten) und vacation (Urlaub) ist? Also, wenn ihr an Orten arbeitet, wo man normalerweise Urlaub macht, oder Urlaub und Arbeiten kombiniert. Wenn ihr zum Arbeiten dann auch noch in einen Coworking-Space geht, die lokale Community sozusagen mitnutzt, dann wird aus ""workation"" die ""coworkation"".

B﻿eate Mader, eine der Coworking-Pioniere im Oberland verknüpft, mit ihrer Beratungs-Zielgruppe Tourismus und die Vernetzung als Coworkerin und Coworking Betreiberin beide Welten.

Wenn Arbeiten und Reisen zusammentreffen: Chancen für unseren Tourismus!",Mittwoch / Wednesday,19:00:00,20:30:00,,https://www.facebook.com/events/1199398638015409,https://www.linkedin.com/events/7237407293267443713,https://www.eventbrite.de/e/lernt-unsere-coworking-community-besser-kennen-workation-coworkation-tickets-744965410597,,No,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F633624289%2F127983638867%2F1%2Foriginal.20231102-141744?w=940&auto=format%2Ccompress&q=75&sharp=10&s=8ec0d3509cfcb3e0851a9b1f44c1ef9e,bad-toelz
05.09.2024 12:49:16,servus@coworking-badtoelz.de,Coworking Bad Tölz,Tag der offenen Türe - Lernt unsere Community kennen,Wir öffnen unsere Türe,Freitag / Friday,10:00:00,14:00:00,,https://www.facebook.com/events/435757152826670,https://www.linkedin.com/events/7237410887102324736/,https://www.eventbrite.de/e/tag-der-offenen-ture-lernt-unsere-community-kennen-tickets-1009162872317?aff=oddtdtcreator,,No,https://media.licdn.com/dms/image/v2/D4D1EAQHRt7RTyYWtzg/event-background-image-crop_720_1280/event-background-image-crop_720_1280/0/1725533218831?e=1726138800&v=beta&t=7aqqybMh65XEa7fKYkkBJIQqq-lVSWcLt8LQ3JZ9rR8,bad-toelz
